symbol,scan_time,market_provider,price,mark_price,funding_rate,oi_contracts,oi_value_now,price_change_pct_24h,high_24h,low_24h,volume_24h,rsi_1m,rsi_5m,rsi_15m,rsi_1h,rsi_4h,rsi_1d,oi_value_1h_ago,oi_change_pct_1h
RIVERUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,6.386,6.386,-0.000465,5643208,36065742.328,-0.21,6.748,6.291,10023532.546,54.82,39.88,36.59,37.69,48.24,38.46,35977661.566,0.245
BCHUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,447.17,447.17,6.4e-05,2362869,10566041.3073,-0.02,455.41,444.96,9005124.9778,58.45,55.49,49.0,42.06,41.43,47.92,10577386.010200001,-0.107
ASTERUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.63628,0.63628,9.5e-05,50292278,31994941.41804,-1.81,0.65452,0.6349,8898048.98176,45.07,46.46,38.14,25.74,29.59,37.04,32006864.703599997,-0.037
LUNCUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,7.155e-05,7.155e-05,-0.00074,96684962,6931151.555856,18.08,7.2077e-05,5.7832e-05,8414450.631946,62.69,66.7,64.59,66.55,81.86,83.64,7493187.84156,-7.501
MOODENGUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.05798,0.05798,-0.000159,7540220,4379359.776,0.51,0.05903,0.05563,8164918.3872,58.44,54.89,50.85,50.65,49.59,57.58,4373319.456,0.138
LABUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.6796,0.6796,0.000575,973409,6636702.562,-13.07,0.78572,0.58642,7976327.2918,59.42,48.51,44.46,45.01,45.69,61.09,6657149.744,-0.307
JELLYJELLYUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.051558,0.051558,0.000316,3192801,16468148.2779,1.18,0.054341,0.049597,7810131.586,44.75,49.49,46.45,51.88,65.01,59.13,16487382.087,-0.117
TRXUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.32314,0.32314,-0.000325,540653,17470661.042,-0.26,0.32635,0.32291,7638746.148,41.72,39.5,33.3,30.28,40.47,51.69,17547665.303999998,-0.439
HBARUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.08912,0.08912,-2.5e-05,12217151,10890368.4014,-2.09,0.09134,0.08858,7606274.5324,56.26,50.17,48.68,36.66,38.9,47.43,10925203.422,-0.319
SUIUSDT,2026-04-28T09:12:32.046598+00:00,kucoin,0.9268,0.9268,1.9e-05,81501703,75560228.8513,-0.25,0.9393,0.9131,7475311.9376,52.05,48.97,47.56,44.69,43.32,47.34,74869586.63340001,0.922
